,date,value
0,2017-01-01,40.0
1,2017-01-02,104.0
2,2017-01-03,60.0
3,2017-01-04,66.0
4,2017-01-05,87.0
5,2017-01-06,80.0
6,2017-01-07,82.0
7,2017-01-08,65.0
8,2017-01-09,88.0
9,2017-01-10,67.0
10,2017-01-11,66.0
11,2017-01-12,80.0
12,2017-01-13,111.0
13,2017-01-14,72.0
14,2017-01-15,49.0
15,2017-01-16,63.0
16,2017-01-17,69.0
17,2017-01-18,63.0
18,2017-01-19,116.0
19,2017-01-20,118.0
20,2017-01-21,77.0
21,2017-01-22,44.0
22,2017-01-23,74.0
23,2017-01-24,84.0
24,2017-01-25,61.0
25,2017-01-26,100.0
26,2017-01-27,101.0
27,2017-01-28,78.0
28,2017-01-29,50.0
29,2017-01-30,78.0
30,2017-01-31,151.0
31,2017-02-01,129.0
32,2017-02-02,106.0
33,2017-02-03,136.0
34,2017-02-04,106.0
35,2017-02-05,75.0
36,2017-02-06,92.0
37,2017-02-07,67.0
38,2017-02-08,65.0
39,2017-02-09,68.0
40,2017-02-10,89.0
41,2017-02-11,84.0
42,2017-02-12,56.0
43,2017-02-13,84.0
44,2017-02-14,91.0
45,2017-02-15,84.0
46,2017-02-16,116.0
47,2017-02-17,116.0
48,2017-02-18,89.0
49,2017-02-19,41.0
50,2017-02-20,77.0
51,2017-02-21,73.0
52,2017-02-22,69.0
53,2017-02-23,111.0
54,2017-02-24,105.0
55,2017-02-25,90.0
56,2017-02-26,46.0
57,2017-02-27,70.0
58,2017-02-28,183.0
59,2017-03-01,126.0
60,2017-03-02,111.0
61,2017-03-03,104.0
62,2017-03-04,103.0
63,2017-03-05,43.0
64,2017-03-06,58.0
65,2017-03-07,81.0
66,2017-03-08,75.0
67,2017-03-09,103.0
68,2017-03-10,95.0
69,2017-03-11,90.0
70,2017-03-12,57.0
71,2017-03-13,76.0
72,2017-03-14,73.0
73,2017-03-15,77.0
74,2017-03-16,104.0
75,2017-03-17,105.0
76,2017-03-18,89.0
77,2017-03-19,55.0
78,2017-03-20,83.0
79,2017-03-21,64.0
80,2017-03-22,81.0
81,2017-03-23,102.0
82,2017-03-24,99.0
83,2017-03-25,90.0
84,2017-03-26,68.0
85,2017-03-27,70.0
86,2017-03-28,86.0
87,2017-03-29,80.0
88,2017-03-30,88.0
89,2017-03-31,211.0
90,2017-04-01,129.0
91,2017-04-02,82.0
92,2017-04-03,104.0
93,2017-04-04,111.0
94,2017-04-05,83.0
95,2017-04-06,80.0
96,2017-04-07,112.0
97,2017-04-08,123.0
98,2017-04-09,98.0
99,2017-04-10,99.0
100,2017-04-11,141.0
101,2017-04-12,170.0
102,2017-04-13,106.0
103,2017-04-14,93.0
104,2017-04-15,107.0
105,2017-04-16,57.0
106,2017-04-17,74.0
107,2017-04-18,113.0
108,2017-04-19,77.0
109,2017-04-20,121.0
110,2017-04-21,115.0
111,2017-04-22,89.0
112,2017-04-23,53.0
113,2017-04-24,86.0
114,2017-04-25,91.0
115,2017-04-26,116.0
116,2017-04-27,114.0
117,2017-04-28,210.0
118,2017-04-29,131.0
119,2017-04-30,82.0
120,2017-05-01,143.0
121,2017-05-02,97.0
122,2017-05-03,117.0
123,2017-05-04,112.0
124,2017-05-05,144.0
125,2017-05-06,127.0
126,2017-05-07,88.0
127,2017-05-08,103.0
128,2017-05-09,109.0
129,2017-05-10,117.0
130,2017-05-11,146.0
131,2017-05-12,84.0
132,2017-05-13,105.0
133,2017-05-14,71.0
134,2017-05-15,95.0
135,2017-05-16,90.0
136,2017-05-17,87.0
137,2017-05-18,121.0
138,2017-05-19,150.0
139,2017-05-20,109.0
140,2017-05-21,55.0
141,2017-05-22,100.0
142,2017-05-23,101.0
143,2017-05-24,120.0
144,2017-05-25,98.0
145,2017-05-26,121.0
146,2017-05-27,109.0
147,2017-05-28,75.0
148,2017-05-29,117.0
149,2017-05-30,97.0
150,2017-05-31,171.0
151,2017-06-01,161.0
152,2017-06-02,167.0
153,2017-06-03,209.0
154,2017-06-04,105.0
155,2017-06-05,84.0
156,2017-06-06,123.0
157,2017-06-07,104.0
158,2017-06-08,130.0
159,2017-06-09,147.0
160,2017-06-10,125.0
161,2017-06-11,101.0
162,2017-06-12,100.0
163,2017-06-13,78.0
164,2017-06-14,116.0
165,2017-06-15,106.0
166,2017-06-16,128.0
167,2017-06-17,111.0
168,2017-06-18,94.0
169,2017-06-19,133.0
170,2017-06-20,126.0
171,2017-06-21,100.0
172,2017-06-22,116.0
173,2017-06-23,128.0
174,2017-06-24,129.0
175,2017-06-25,108.0
176,2017-06-26,128.0
177,2017-06-27,135.0
178,2017-06-28,122.0
179,2017-06-29,121.0
180,2017-06-30,233.0
181,2017-07-01,153.0
182,2017-07-02,108.0
183,2017-07-03,156.0
184,2017-07-04,124.0
185,2017-07-05,82.0
186,2017-07-06,128.0
187,2017-07-07,140.0
188,2017-07-08,118.0
189,2017-07-09,82.0
190,2017-07-10,130.0
191,2017-07-11,118.0
192,2017-07-12,121.0
193,2017-07-13,118.0
194,2017-07-14,122.0
195,2017-07-15,121.0
196,2017-07-16,115.0
197,2017-07-17,129.0
198,2017-07-18,151.0
199,2017-07-19,142.0
200,2017-07-20,151.0
201,2017-07-21,137.0
202,2017-07-22,155.0
203,2017-07-23,96.0
204,2017-07-24,158.0
205,2017-07-25,129.0
206,2017-07-26,175.0
207,2017-07-27,113.0
208,2017-07-28,173.0
209,2017-07-29,92.0
210,2017-07-30,85.0
211,2017-07-31,221.0
212,2017-08-01,165.0
213,2017-08-02,128.0
214,2017-08-03,142.0
215,2017-08-04,176.0
216,2017-08-05,216.0
217,2017-08-06,95.0
218,2017-08-07,141.0
219,2017-08-08,123.0
220,2017-08-09,126.0
221,2017-08-10,92.0
222,2017-08-11,140.0
223,2017-08-12,112.0
224,2017-08-13,93.0
225,2017-08-14,110.0
226,2017-08-15,108.0
227,2017-08-16,102.0
228,2017-08-17,114.0
229,2017-08-18,146.0
230,2017-08-19,123.0
231,2017-08-20,84.0
232,2017-08-21,121.0
233,2017-08-22,97.0
234,2017-08-23,97.0
235,2017-08-24,100.0
236,2017-08-25,155.0
237,2017-08-26,104.0
238,2017-08-27,78.0
239,2017-08-28,107.0
240,2017-08-29,73.0
241,2017-08-30,91.0
242,2017-08-31,184.0
243,2017-09-01,175.0
244,2017-09-02,121.0
245,2017-09-03,97.0
246,2017-09-04,120.0
247,2017-09-05,93.0
248,2017-09-06,99.0
249,2017-09-07,117.0
250,2017-09-08,119.0
251,2017-09-09,85.0
252,2017-09-10,46.0
253,2017-09-11,100.0
254,2017-09-12,81.0
255,2017-09-13,60.0
256,2017-09-14,40.0
257,2017-09-15,65.0
258,2017-09-16,1.0
259,2017-09-17,82.0
260,2017-09-18,97.0
261,2017-09-19,88.0
262,2017-09-20,80.0
263,2017-09-21,96.0
264,2017-09-22,107.0
265,2017-09-23,123.0
266,2017-09-24,85.0
267,2017-09-25,91.0
268,2017-09-26,89.0
269,2017-09-27,87.0
270,2017-09-28,87.0
271,2017-09-29,199.0
272,2017-09-30,124.0
273,2017-10-01,81.0
274,2017-10-02,111.0
275,2017-10-03,89.0
276,2017-10-04,67.0
277,2017-10-05,108.0
278,2017-10-06,115.0
279,2017-10-07,89.0
280,2017-10-08,60.0
281,2017-10-09,78.0
282,2017-10-10,81.0
283,2017-10-11,89.0
284,2017-10-12,80.0
285,2017-10-13,125.0
286,2017-10-14,68.0
287,2017-10-15,71.0
288,2017-10-16,97.0
289,2017-10-17,80.0
290,2017-10-18,104.0
291,2017-10-19,100.0
292,2017-10-20,98.0
293,2017-10-21,95.0
294,2017-10-22,53.0
295,2017-10-23,69.0
296,2017-10-24,76.0
297,2017-10-25,87.0
298,2017-10-26,103.0
299,2017-10-27,88.0
300,2017-10-28,0.0
301,2017-10-29,59.0
302,2017-10-30,71.0
303,2017-10-31,153.0
304,2017-11-01,141.0
305,2017-11-02,109.0
306,2017-11-03,111.0
307,2017-11-04,87.0
308,2017-11-05,60.0
309,2017-11-06,79.0
310,2017-11-07,91.0
311,2017-11-08,93.0
312,2017-11-09,95.0
313,2017-11-10,92.0
314,2017-11-11,92.0
315,2017-11-12,66.0
316,2017-11-13,93.0
317,2017-11-14,69.0
318,2017-11-15,76.0
319,2017-11-16,103.0
320,2017-11-17,107.0
321,2017-11-18,83.0
322,2017-11-19,47.0
323,2017-11-20,76.0
324,2017-11-21,73.0
325,2017-11-22,75.0
326,2017-11-23,86.0
327,2017-11-24,122.0
328,2017-11-25,65.0
329,2017-11-26,79.0
330,2017-11-27,77.0
331,2017-11-28,71.0
332,2017-11-29,84.0
333,2017-11-30,176.0
334,2017-12-01,131.0
335,2017-12-02,83.0
336,2017-12-03,79.0
337,2017-12-04,98.0
338,2017-12-05,81.0
339,2017-12-06,86.0
340,2017-12-07,95.0
341,2017-12-08,104.0
342,2017-12-09,106.0
343,2017-12-10,57.0
344,2017-12-11,67.0
345,2017-12-12,88.0
346,2017-12-13,76.0
347,2017-12-14,92.0
348,2017-12-15,104.0
349,2017-12-16,90.0
350,2017-12-17,82.0
351,2017-12-18,103.0
352,2017-12-19,101.0
353,2017-12-20,90.0
354,2017-12-21,107.0
355,2017-12-22,111.0
356,2017-12-23,101.0
357,2017-12-24,53.0
358,2017-12-25,22.0
359,2017-12-26,42.0
360,2017-12-27,59.0
361,2017-12-28,100.0
362,2017-12-29,181.0
363,2017-12-30,102.0
364,2017-12-31,67.0
