,date,value
0,2020-01-01,628000.0
1,2020-01-02,1549000.0
2,2020-01-03,1629000.0
3,2020-01-04,919000.0
4,2020-01-05,1417500.0
5,2020-01-06,1114000.0
6,2020-01-07,735000.0
7,2020-01-08,1945000.0
8,2020-01-09,3070000.0
9,2020-01-10,2898000.0
10,2020-01-11,1456000.0
11,2020-01-12,2429000.0
12,2020-01-13,5179000.0
13,2020-01-14,4399000.0
14,2020-01-15,4819000.0
15,2020-01-16,3174000.0
16,2020-01-17,4549000.0
17,2020-01-18,1866000.0
18,2020-01-19,1758000.0
19,2020-01-20,8659000.0
20,2020-01-21,4892000.0
21,2020-01-22,3034000.0
22,2020-01-23,3006000.0
23,2020-01-24,3421000.0
24,2020-01-25,1882000.0
25,2020-01-26,1001000.0
26,2020-01-27,4007000.0
27,2020-01-28,5090000.0
28,2020-01-29,2386000.0
29,2020-01-30,4184000.0
30,2020-01-31,5572000.0
31,2020-02-01,5116000.0
32,2020-02-02,3444000.0
33,2020-02-03,6843000.0
34,2020-02-04,2713000.0
35,2020-02-05,3629000.0
36,2020-02-06,9680000.0
37,2020-02-07,5914000.0
38,2020-02-08,4222000.0
39,2020-02-09,1862300.0
40,2020-02-10,6479000.0
41,2020-02-11,4293000.0
42,2020-02-12,1964000.0
43,2020-02-13,5181000.0
44,2020-02-14,3267300.0
45,2020-02-15,2110000.0
46,2020-02-16,2072000.0
47,2020-02-17,5974000.0
48,2020-02-18,4550000.0
49,2020-02-19,2063000.0
50,2020-02-20,6082000.0
51,2020-02-21,3289000.0
52,2020-02-22,1606000.0
53,2020-02-23,1514000.0
54,2020-02-24,3346000.0
55,2020-02-25,6775000.0
56,2020-02-26,8268000.0
57,2020-02-27,5665000.0
58,2020-02-28,4286000.0
59,2020-02-29,3271300.0
60,2020-03-01,3763000.0
61,2020-03-02,5245000.0
62,2020-03-03,7880000.0
63,2020-03-04,4011000.0
64,2020-03-05,3303000.0
65,2020-03-06,5601000.0
66,2020-03-07,5479000.0
67,2020-03-08,2856000.0
68,2020-03-09,7106000.0
69,2020-03-10,5019400.0
70,2020-03-11,8132000.0
71,2020-03-12,3469000.0
72,2020-03-13,4390000.0
73,2020-03-14,3310000.0
74,2020-03-15,3025000.0
75,2020-03-16,4685000.0
76,2020-03-17,8913600.0
77,2020-03-18,7738000.0
78,2020-03-19,5090000.0
79,2020-03-20,4021000.0
80,2020-03-21,3743000.0
81,2020-03-22,1830000.0
82,2020-03-23,5298000.0
83,2020-03-24,4188000.0
84,2020-03-25,8437000.0
85,2020-03-26,10033000.0
86,2020-03-27,7001000.0
87,2020-03-28,6874000.0
88,2020-03-29,3878500.0
89,2020-03-30,4862500.0
90,2020-03-31,5975000.0
91,2020-04-01,7086000.0
92,2020-04-02,3344000.0
93,2020-04-03,3719000.0
94,2020-04-04,2843000.0
95,2020-04-05,1285000.0
96,2020-04-06,2664600.0
97,2020-04-07,2991000.0
98,2020-04-08,5012000.0
99,2020-04-09,8936000.0
100,2020-04-10,1963000.0
101,2020-04-11,3080000.0
102,2020-04-12,4116000.0
103,2020-04-13,3479000.0
104,2020-04-14,3481500.0
105,2020-04-15,2277000.0
106,2020-04-16,6611000.0
107,2020-04-17,2240000.0
108,2020-04-18,1163000.0
109,2020-04-19,1256000.0
110,2020-04-20,2818000.0
111,2020-04-21,0.0
112,2020-04-22,1872000.0
113,2020-04-23,2517000.0
114,2020-04-24,4946500.0
115,2020-04-25,2727000.0
116,2020-04-26,6793000.0
117,2020-04-27,5648000.0
118,2020-04-28,3882000.0
119,2020-04-29,5012000.0
120,2020-04-30,3884500.0
121,2020-05-01,3434000.0
122,2020-05-02,2447000.0
123,2020-05-03,2129000.0
124,2020-05-04,1356000.0
125,2020-05-05,4481000.0
126,2020-05-06,9058000.0
127,2020-05-07,9737500.0
128,2020-05-08,2559000.0
129,2020-05-09,2443000.0
130,2020-05-10,1382000.0
131,2020-05-11,2205000.0
132,2020-05-12,3954000.0
133,2020-05-13,3836000.0
134,2020-05-14,3941000.0
135,2020-05-15,2610000.0
136,2020-05-16,1340000.0
137,2020-05-17,2446300.0
138,2020-05-18,5078000.0
139,2020-05-19,6469000.0
140,2020-05-20,2245000.0
141,2020-05-21,2159000.0
142,2020-05-22,9042000.0
143,2020-05-23,1222000.0
144,2020-05-24,1790000.0
145,2020-05-25,3504000.0
146,2020-05-26,3128000.0
147,2020-05-27,3751000.0
148,2020-05-28,6296000.0
149,2020-05-29,3467000.0
150,2020-05-30,2477000.0
151,2020-05-31,2993000.0
152,2020-06-01,7820000.0
153,2020-06-02,4343000.0
154,2020-06-03,3778000.0
155,2020-06-04,4172000.0
156,2020-06-05,4491000.0
157,2020-06-06,3451000.0
158,2020-06-07,1078000.0
159,2020-06-08,6235000.0
160,2020-06-09,4922000.0
161,2020-06-10,4833000.0
162,2020-06-11,4826000.0
163,2020-06-12,1376000.0
164,2020-06-13,1692000.0
165,2020-06-14,971000.0
166,2020-06-15,7316000.0
167,2020-06-16,6649000.0
168,2020-06-17,3798000.0
169,2020-06-18,6436500.0
170,2020-06-19,8387000.0
171,2020-06-20,1813000.0
172,2020-06-21,1204000.0
173,2020-06-22,4430000.0
174,2020-06-23,3771000.0
175,2020-06-24,1827000.0
176,2020-06-25,3175000.0
177,2020-06-26,4175000.0
178,2020-06-27,2494000.0
179,2020-06-28,2857000.0
180,2020-06-29,6487000.0
181,2020-06-30,7556000.0
182,2020-07-01,5528000.0
183,2020-07-02,1993000.0
184,2020-07-03,4043000.0
185,2020-07-04,3114000.0
186,2020-07-05,2088000.0
187,2020-07-06,9275000.0
188,2020-07-07,5441000.0
189,2020-07-08,3426000.0
190,2020-07-09,8354000.0
191,2020-07-10,5069000.0
192,2020-07-11,2116500.0
193,2020-07-12,2347000.0
194,2020-07-13,4248500.0
195,2020-07-14,8627000.0
196,2020-07-15,7950000.0
197,2020-07-16,7772000.0
198,2020-07-17,4681000.0
199,2020-07-18,3037000.0
200,2020-07-19,899000.0
201,2020-07-20,6042500.0
202,2020-07-21,4861000.0
203,2020-07-22,5490500.0
204,2020-07-23,4439000.0
205,2020-07-24,5315000.0
206,2020-07-25,2681000.0
207,2020-07-26,2085000.0
208,2020-07-27,9898000.0
209,2020-07-28,5290600.0
210,2020-07-29,4568000.0
211,2020-07-30,9581000.0
212,2020-07-31,4342000.0
213,2020-08-01,2217000.0
214,2020-08-02,3203000.0
215,2020-08-03,5483000.0
216,2020-08-04,8859000.0
217,2020-08-05,5337000.0
218,2020-08-06,8614000.0
219,2020-08-07,8428000.0
220,2020-08-08,1163000.0
221,2020-08-09,2029000.0
222,2020-08-10,0.0
223,2020-08-11,3996000.0
224,2020-08-12,7103000.0
225,2020-08-13,4693000.0
226,2020-08-14,5788000.0
227,2020-08-15,1396000.0
228,2020-08-16,1157000.0
229,2020-08-17,7579000.0
230,2020-08-18,10049000.0
231,2020-08-19,5719000.0
232,2020-08-20,7253000.0
233,2020-08-21,6162000.0
234,2020-08-22,1886000.0
235,2020-08-23,1714000.0
236,2020-08-24,726000.0
237,2020-08-25,10195000.0
238,2020-08-26,2907000.0
239,2020-08-27,4380000.0
240,2020-08-28,8241000.0
241,2020-08-29,3381000.0
242,2020-08-30,1330000.0
243,2020-08-31,8161000.0
244,2020-09-01,9375000.0
245,2020-09-02,8946000.0
246,2020-09-03,8074000.0
247,2020-09-04,5787000.0
248,2020-09-05,3530000.0
249,2020-09-06,2242000.0
250,2020-09-07,6029000.0
251,2020-09-08,11435000.0
252,2020-09-09,7349000.0
253,2020-09-10,5219000.0
254,2020-09-11,4706000.0
255,2020-09-12,2136000.0
256,2020-09-13,2275000.0
257,2020-09-14,2943500.0
258,2020-09-15,7406000.0
259,2020-09-16,7479000.0
260,2020-09-17,5202000.0
261,2020-09-18,9109000.0
262,2020-09-19,4385000.0
263,2020-09-20,2343000.0
264,2020-09-21,5447500.0
265,2020-09-22,4070000.0
266,2020-09-23,859000.0
267,2020-09-24,6032000.0
268,2020-09-25,6373000.0
269,2020-09-26,1882000.0
270,2020-09-27,2090000.0
271,2020-09-28,7595500.0
272,2020-09-29,9351000.0
273,2020-09-30,10123000.0
274,2020-10-01,9075000.0
275,2020-10-02,11976000.0
276,2020-10-03,4000000.0
277,2020-10-04,3527500.0
278,2020-10-05,8336000.0
279,2020-10-06,4877000.0
280,2020-10-07,7071000.0
281,2020-10-08,6531000.0
282,2020-10-09,8335000.0
283,2020-10-10,3554000.0
284,2020-10-11,1659000.0
285,2020-10-12,3938000.0
286,2020-10-13,5552000.0
287,2020-10-14,6743000.0
288,2020-10-15,7236000.0
289,2020-10-16,8474000.0
290,2020-10-17,4494000.0
291,2020-10-18,2331000.0
292,2020-10-19,6047500.0
293,2020-10-20,6924000.0
294,2020-10-21,6613500.0
