,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,RMSE,RMSSE,SMAPE,CM,RMSE_model,RMSSE_model
danish_atm_daily_0,0.1419392139959805,0.0059051161891368,-171289.6255282936,115.0,0.8329422281255238,6.0,1.0,59.4,0.0033114800624379,0.2710156145936274,0.0262295081967213,0.008919540229885,0.0,1.0,0.0489295031284825,2.149307394839011e-07,-0.1325825036093067,0.2385378292040156,23.21806258445741,0.4274341350992524,7.026372849941254,0.7926751172251755,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_1,0.1389747615582887,0.0177250506126115,-186506.1242166836,67.0,0.8387956780127662,108.0,1.0,100.66666666666669,0.0013459628210586,0.0001778060249763,0.0098360655737704,0.0016206896551724,0.0,1.0,0.0508206741663095,8.532189158735058e-08,0.1749464208553411,-0.1689557742434145,38.75448090271708,0.7397149643052635,7.451891899108887,0.8077039745156639,LightAutoML,LightAutoML
danish_atm_daily_10,0.3349371129374787,0.0001075799675145,-126910.21127995467,101.0,0.8652320420602421,10.0,1.0,31.11111111111111,0.0081692918972612,0.4362170365130308,0.081967213114754,0.0310919540229885,0.0,1.0,0.4092988969735135,2.0163904727660402e-07,-0.08613731351586,-0.0621979729861187,15.445234947801003,0.2725092106682177,7.352140545845032,0.7580610063984026,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_100,1.4901161193847656e-08,0.0,-47743.428901893705,114.0,0.8263018228608763,6.0,1.0,32.22222222222222,0.0060764864481339,0.231757266084588,0.0491803278688524,0.0101724137931034,0.0,1.0,0.0437878477725987,3.614012649475082e-07,-0.1279119623558966,0.4370140917001748,14.839147621208689,0.5946262314181341,11.260899901390076,0.8238780027640056,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
danish_atm_daily_101,0.0800761713973853,4.062294252567253e-06,-84083.9059021938,53.0,0.7820835472196644,126.0,1.0,49.5,0.003420462608202,0.2077259979817224,0.0262295081967213,0.0047816091954022,0.0,1.0,0.0553166067205382,2.114193367340623e-07,0.1099054155712405,0.3011568947695239,37.51949037771069,0.7606832122880225,14.842627942562103,0.8073189466991726,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
danish_atm_daily_102,0.1958205659418536,0.0001382863861734,-65159.11475580106,98.0,0.6585311540823373,7.0,1.0,5.947368421052632,0.0086704980842911,0.6688529210557299,0.2590163934426229,0.0237816091954023,0.0,1.0,0.0697520405749227,3.759169449017626e-07,1.3691543686575207,1.2898936293243246,32.54018699287467,0.7683554671264476,10.074901580810549,0.852756425838815,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_103,0.0522760000343419,0.052274813291066,-78984.86840946732,132.0,0.6342994624036962,6.0,1.0,4.818181818181818,0.00155938697318,0.815188318358624,0.3049180327868852,0.0112758620689655,0.0,1.0,0.0089861568739387,3.46311173077644e-07,0.3321221645853472,0.6257401144145992,19.65350798144093,0.3454031803911631,30.8191180229187,0.7569584774747158,NeuralProphet,NeuralProphet
danish_atm_daily_104,0.0466295034868735,0.020699360849876,-23280.71951318153,124.0,0.6884941424157925,6.0,1.0,4.688888888888889,0.001479211011778,0.7896679391467858,0.3081967213114754,0.0108505747126436,0.0,1.0,0.0102240795958782,3.3647397674575625e-07,0.3456083125938785,0.6365890819352518,9.366702056854107,0.3517133294354586,33.69623422622681,0.7595118892509122,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
danish_atm_daily_105,1.501437414816132e-08,9.501058769216852e-12,-8323.21920839155,93.0,0.7588038060170167,57.0,1.0,6.027027027027027,0.0091420462608202,0.7082649926598157,0.2688524590163934,0.0309885057471264,0.0,1.0,0.0883776000122223,3.499520789258041e-07,2.020121988476963,0.7801308225204963,5.047205863948989,0.4464800290944772,37.374746799468994,0.7733563919184697,LightAutoML,LightAutoML
danish_atm_daily_106,0.9950084186710744,9.983247074970642e-05,-21092.06484412196,60.0,0.8956561498861266,225.0,1.0,9.576923076923077,0.0151008939974457,0.7040882983511856,0.1836065573770491,0.0391264367816091,0.0,1.0,0.2035078847709703,3.068127447102557e-07,2.74183657271323,-0.3895265133960495,4.951001984881128,0.0471552109740206,44.25052106380463,0.677513415477107,LightAutoML,LightAutoML
danish_atm_daily_107,0.1348231809249047,2.515696841591769e-09,-11453.900385688132,16.0,0.6936165437619749,174.0,1.0,75.0,0.0023512132822477,0.2718299283345025,0.0163934426229508,0.0035057471264367,0.0,1.0,0.0262015344634698,1.4731460666193417e-07,0.3068081645211409,-0.1366982594257058,4.576532601219444,0.6362721375967698,15.949688851833344,0.7917248113942984,LightAutoML_mult_gl,Prophet
danish_atm_daily_108,0.2351070869607021,0.0,-70811.05564886823,16.0,0.7972075109684175,243.0,1.0,152.0,0.0003333333333333,0.0,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0351114009762293,3.109764375484585e-08,0.0893402853902039,-0.0929314532444055,10.709251710768116,0.7370370078387363,8.528496325016022,0.8142558138362586,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_109,0.3313354170442992,0.0,-92100.93947419384,2.0,0.6038544057921492,270.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4016565685892601e-15,-1.1934897514720433e-15,13.623586598851505,0.8512412456332519,10.224247723817824,0.8457579730629883,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,Prophet
danish_atm_daily_11,0.1931892058365152,0.0535577049451443,-126785.91334422222,127.0,0.8060515018962999,6.0,1.0,75.25,0.0016154391939832,0.1438342895353851,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0292656486664727,1.2204115291134638e-07,0.0499660501720423,0.1401821169097653,26.59291916299102,0.4603381797036125,8.42074379324913,0.7995903349019235,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_12,0.1142054246640563,0.011262823192838,-165387.80903807384,115.0,0.7842557462497356,5.0,1.0,151.5,0.0010534979423868,1.0,0.0065573770491803,0.0013333333333333,0.0,1.0,0.0801856908736529,5.137930761670172e-08,0.1898992030295501,-0.1995856271813065,14.432621647744844,0.3451639868252375,5.49914613366127,0.773906340898863,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_13,0.04910838711548,5.6158035277982805e-14,-46229.4689954791,40.0,0.8579159183542353,195.0,1.0,151.0,0.0018148148148148,0.6130120390342169,0.0098360655737704,0.003,0.0,1.0,0.017298495692972,9.592922118624881e-08,0.0696456141212514,0.0702752888901102,15.393305108490702,0.8961914326659456,16.43437296152115,0.8307526307307025,LightAutoML,LightAutoML
danish_atm_daily_14,0.0503293848539012,0.0323171876430253,-154095.91021619382,123.0,0.8125499470707541,8.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4016565685892601e-15,-1.1934897514720433e-15,13.553430011915458,0.2809012969083529,5.338930711150169,0.7587602653827001,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_15,0.0996715752841224,0.0383614974170256,-177804.0701898028,115.0,0.8194730041778618,6.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4016565685892601e-15,-1.1934897514720433e-15,26.80308328229236,0.413081336292468,6.54778778553009,0.789510555338255,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_16,0.2666673834752519,0.0,-83234.14057097983,115.0,0.7817432321375278,5.0,1.0,59.2,0.004455938697318,0.3617699737894637,0.0295081967213114,0.0083793103448275,0.0,1.0,0.0161830359358847,2.588198780648551e-07,0.0887903168023525,0.2055222589814364,16.5160915630054,0.4789762140011034,11.55346781015396,0.8033565435471983,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_17,0.1324441434997474,0.0,-31194.29343277602,119.0,0.7753239505519687,11.0,1.0,73.0,0.0031532567049808,0.6369633188544844,0.0426229508196721,0.0232298850574712,0.0,1.0,0.5043182464415334,7.671351080600339e-08,0.4871077238100465,0.4485519810716447,5.45796124692182,0.3165207922094976,9.206440299749374,0.7672880990960721,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_18,0.0282559644675882,0.0039910046665031,-163268.25094769432,105.0,0.7833343772577145,6.0,1.0,75.5,0.0009310344827586,0.0014490809070174,0.0098360655737704,0.0009310344827586,0.0,1.0,0.0123415699804557,9.823101561371804e-08,0.1333097116396167,-0.018574440898296,25.467440294162245,0.582300583486983,9.182485193014143,0.8226302924251235,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_19,0.7585712752001602,0.0001010494100273,-231724.1674818382,89.0,0.8234056359577494,6.0,1.0,59.4,0.0038563927912586,0.2617962933182306,0.0262295081967213,0.005471264367816,0.0,1.0,0.015141761628492,2.377812327791531e-07,-0.0527190126151172,0.1691795686183166,24.829287752036656,0.4814007939554771,6.215554475784302,0.7879979713087869,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
danish_atm_daily_2,0.4252296177890938,0.001004727013695,-60317.160009095496,66.0,0.8447184554776725,70.0,1.0,98.33333333333331,0.0045772669220945,0.675938524182941,0.0327868852459016,0.0167816091954023,0.0,1.0,0.171790886076821,1.785907118780929e-07,0.08093390054984,0.486497182483223,19.249514883294783,0.8724837777843623,14.971472322940826,0.8363898600944273,Prophet,Prophet
danish_atm_daily_20,0.2893548782785273,0.0251238010964918,-160115.11054822317,121.0,0.7767092753818164,6.0,1.0,100.33333333333331,0.0020343408542642,0.4549331021173406,0.0131147540983606,0.0025747126436781,0.0,1.0,0.0652432588162529,1.0238035944340782e-07,0.3238604683672342,-0.310578192787893,24.82283292994514,0.4238809075337749,7.084444910287857,0.791955598931421,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_21,0.0525865614435118,0.0166587930262165,-130821.18834660022,121.0,0.8084775473504487,5.0,1.0,75.5,0.0009310344827586,0.4087537319882545,0.0098360655737704,0.0009310344827586,0.0,1.0,0.0259269645218861,9.405034355195773e-08,-0.0075200238140186,-0.1448348855379052,9.10293126107988,0.2466357381742511,4.781082645058632,0.7492306228374788,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_22,0.1477180516308283,0.0147399063625422,-143233.49738752662,121.0,0.7949916288039629,4.0,1.0,60.0,0.0018619270611607,0.0638848336074594,0.0163934426229508,0.0021264367816091,0.0,1.0,0.0181946202086408,1.5629318516224346e-07,0.1296881242387378,-0.0127938544448775,17.097511226395458,0.3763169942065127,5.70790208876133,0.7802481671371713,CatBoostDirectPipelineEtna_horizonlags_gl,CatBoostDirectPipelineEtna_horizonlags_gl
danish_atm_daily_23,0.2893835969926596,0.0251194186486897,-228549.61806670832,109.0,0.8008198952971359,5.0,1.0,101.0,0.0006436781609195,0.000184783679905,0.0065573770491803,0.0006436781609195,0.0,1.0,0.0229165596215517,6.433463699261418e-08,0.1221169234217412,-0.0750132970941964,14.784971514697949,0.2400937536361967,4.035283252596855,0.7446872489217545,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_24,6.34991558401199e-08,1.5221523938110394e-10,-54879.93157464694,121.0,0.8249652083644602,8.0,1.0,49.833333333333336,0.0025145451965375,0.2560095283166855,0.0196721311475409,0.0030344827586206,0.0,1.0,0.0387601869013857,1.7164189437286976e-07,0.218229733097773,0.0195083455297851,6.17529109623919,0.2691351711958172,6.581500172615051,0.7563473201256401,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_25,0.0276181699537174,0.0266302258317765,-113164.3340534322,113.0,0.8067604635783134,8.0,1.0,60.2,0.0016154391939832,0.0638238447409113,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0124196163590498,1.2854723903978962e-07,0.109197773790009,0.0032297282688033,15.136953627209955,0.3584266708693296,9.499645233154297,0.7781428540784417,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_26,1.4901161193847656e-08,4.509743324928049e-11,-58844.849128596325,129.0,0.788463253399573,5.0,1.0,152.0,0.0003333333333333,0.0,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0438575305601333,3.03096692280931e-08,0.0939667217533131,-0.0981034729786472,11.513924171589004,0.4267864865521331,8.459699153900146,0.7927773749354554,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_27,0.0654021788113757,0.0214992577044529,-165277.91103453183,117.0,0.8150255482308493,4.0,1.0,152.0,0.0003333333333333,0.0001462487203239,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0050141863719628,3.4602087504411607e-08,0.023635450807096,0.019615354810457,17.81165191237624,0.3785940645181602,6.964569538831711,0.7824532399196412,LightAutoML_mult_gl,LightAutoML_mult_gl
