,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,hurst,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
mipt_alpha_0,0.1464285714285714,0.0366071428571428,-33443390604.36384,255.0,0.7509511213845694,5.0,1.0,0.7876430253691682,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_1,0.2171428571428571,0.0325714285714285,-15727629484.985071,162.0,0.5784337523770577,176.0,1.0,1.088826360036663,120.75,0.0027062778140721,0.9507012450125848,0.2801788375558867,0.190768882858435,0.0,1.0,0.8770215506767183,2.2986427966658522e-08,5.339229389533905,0.6874725166890112
mipt_alpha_10,0.1696607690399982,0.0697209120496163,-40945656183.23616,191.0,0.7684169945697656,119.0,1.0,0.7507474511126959,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_100,0.1699999999999999,0.0199999999999999,-34912976433.101395,204.0,0.7408454398107096,94.0,1.0,0.6928496182859719,215.33333333333331,0.0016407859691441,0.8491615086371388,0.03725782414307,0.0290411578471279,0.0,1.0,0.6239734736000561,7.570322072773363e-09,0.1737347336114416,0.9977975111302548
mipt_alpha_101,0.1935714285714285,0.0322619047619047,-74742020739.95737,193.0,0.6454332135102072,103.0,1.0,0.9293330845831924,141.5,0.0020945776169656,0.9410457278770352,0.1564828614008941,0.1246132971506106,0.0,1.0,0.9032099436711518,8.662986883614856e-09,-2.9653029011970866,1.9255241056034609
mipt_alpha_102,0.0757142857142857,0.0412987012987012,-36758036898.05417,293.0,0.813289509963297,10.0,1.0,0.5745402348104344,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_103,0.0521428571428571,0.0115873015873015,-24541475563.18036,254.0,0.7086848192343222,9.0,1.0,0.8200349799482374,5.46,0.003216688722493,0.6250633552701923,0.1862891207153502,0.014210764360018,0.0,1.0,0.008731018888956,1.3026251200965526e-07,0.1197038306433936,0.3912242294511533
mipt_alpha_104,0.1228571428571428,0.0655238095238095,-39897513760.821686,267.0,0.8086163313506606,5.0,1.0,0.585151013415551,335.0,0.0001492537313432,2.8187143843672047e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0024770677260363,3.281092426248942e-09,-0.0186249542895127,0.0090426909034183
mipt_alpha_105,0.0997950996944183,0.0537618710436106,-44768594581.58514,289.0,0.8080333725527632,4.0,1.0,0.651194940086208,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_106,0.1464285714285714,0.0274553571428571,-42977116568.11687,154.0,0.8578834142086842,291.0,1.0,0.6505230117314392,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0078787231039296,3.234291606172998e-09,0.0369667467291256,-0.0228214125181395
mipt_alpha_107,0.1464285714285714,0.0640625,-51684873862.86902,263.0,0.7621305576125478,8.0,1.0,0.5335607828743405,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_108,0.0992857142857142,0.0152747252747252,-46366794887.70182,68.0,0.6460722474515208,352.0,1.0,1.0333184099681618,335.0,0.0001492537313432,2.8187143844005117e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0036791458443828,3.269798512556245e-09,0.0302109124611122,-0.0099701016142896
mipt_alpha_109,0.0757142857142857,0.0001,-12530684052.69528,258.0,0.7961865918148494,16.0,1.0,0.7256071149941866,5.465346534653466,0.0026875164022759,0.684996903087674,0.1773472429210134,0.0111578471279963,0.0,1.0,0.0062913469733898,1.3341919681841e-07,0.2734602942148802,0.4233921622676481
mipt_alpha_11,0.1464285714285714,0.0183035714285714,-37737192300.17152,226.0,0.723954376368397,80.0,1.0,0.7008986958681401,295.0,0.0002939846223428,0.96321281153375,0.1207153502235469,0.1040117593848937,0.0,1.0,0.9375512555935192,4.7324820986480606e-09,-4.61581104961801,-4.556204503418516
mipt_alpha_110,0.1228571428571428,0.0491428571428571,-23937306197.652824,267.0,0.8089651213909358,4.0,1.0,0.6916167514130093,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189646981494,3.2805260991634942e-09,-0.003752425804258,0.0248617100661424
mipt_alpha_111,0.0521428571428571,0.0463492063492063,-43207716884.79765,293.0,0.8112068506512625,4.0,1.0,0.78019666078409,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_112,0.0521428571428571,0.0057936507936507,-16394687317.543428,291.0,0.7866457068369721,9.0,1.0,0.7089737047258753,5.415841584158416,0.002651333679526,0.6542304200204136,0.1847988077496274,0.014622342831298,0.0,1.0,0.0068144079041753,1.3168378263179325e-07,0.1638545765519208,0.3891328978310818
mipt_alpha_113,0.0285714285714285,0.0285714285714285,-50597207665.42194,283.0,0.758015731905856,8.0,1.0,0.6787242924404923,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_114,0.1464285714285714,0.0457589285714285,-29327128253.551025,279.0,0.8151502833577585,5.0,1.0,0.7581026065002576,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2065682614424986e-15,1.637578961322106e-15
mipt_alpha_115,0.1228571428571428,0.0491428571428571,-18282591096.16571,237.0,0.7598413840649291,5.0,1.0,0.838930165352659,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189646981494,3.2805260991634942e-09,-0.003752425804258,0.0248617100661424
