,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,hurst,intervals_mean,intervals_sd,lumpiness,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,arch_lm,x_pacf5,diff1x_pacf5,diff2x_pacf5,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,unitroot_kpss,unitroot_pp
nn5_0,1.4901161193847656e-08,5.120002341840213e-12,-68475.87048261693,229.0,0.7057048219205265,5.0,1.0,0.8658657168985009,37.36842105263158,37.98714771883861,0.0030038333615198,0.1174645685329487,0.0459467711151061,-0.4444444444444445,0.2476851851851852,-0.6442307692307693,0.4899223372781066,0.0497710923352108,0.0168553401247729,0.4083009014193144,0.9068325037149068,0.0287277701778385,0.0037442922374429,0.0,1.0,0.0085409425299155,4.548067603028219e-08,0.069356101438916,0.092808096413698,0.1098443017865553,0.0425316975853287,0.0737079186234222,-635.5967683259604
nn5_1,1.4901161193847656e-08,2.202271196923481e-11,-36241.35114894502,269.0,0.7726421633633471,7.0,1.0,0.6345608306464589,44.4375,36.02955962354614,0.0029707142454478,0.2288644728816852,0.0686129378021149,-0.3666666666666667,0.15,-0.5975609756097561,0.3646638905413444,0.0708390019838883,0.0555878692803718,0.3509917127629837,0.8454962247302084,0.027359781121751,0.0039611872146118,0.0,1.0,0.0132729557936683,4.3197734290894006e-08,0.0123710116333588,0.0737673607888804,0.2184610673077472,0.0630907185090428,0.128528100207369,-543.9976608934487
nn5_10,0.0181928265992686,0.0,-47905.63620639479,224.0,0.724366741533332,5.0,1.0,0.7527559923143201,41.70588235294117,34.79720661540656,0.0032546460717439,0.250117828779129,0.0977369071797795,-0.40625,0.189453125,-0.6222222222222223,0.4119753086419754,0.0850009404467593,0.0675071368893975,0.3404565805429068,0.8559215116214336,0.0300957592339261,0.0060235920852359,0.0,1.0,0.0086015735155182,4.726572902239024e-08,0.0290162743900432,0.1295143709399355,0.2436079037275642,0.090969617733537,0.0759781840547905,-571.1987192258227
nn5_100,0.1592813885172259,0.0,-41450.40794720994,230.0,0.734721556960943,6.0,1.0,0.7406013407870347,47.13333333333333,43.95105502823837,0.0041486273183381,0.396818248367733,0.1861881816323129,-0.25,0.1071428571428571,-0.5428571428571429,0.3110204081632654,0.192405921495969,0.1664381815914383,0.2424553221712926,0.6919426829856272,0.0328317373461012,0.0058485540334855,0.0,1.0,0.0099465842541731,5.073051306661778e-08,0.1151977964297153,0.0346279598070267,0.3908150689237349,0.1793742015822002,0.0914090819582683,-401.9305859412715
nn5_101,0.0748832044159247,0.0,-51726.05735677919,255.0,0.6934585226108733,4.0,1.0,0.7665620537392396,47.4,47.34191739734611,0.0034930097525226,0.2802709426425854,0.1394902777790689,-0.3214285714285714,0.1530612244897958,-0.5540540540540541,0.3319941563184806,0.1143887255385055,0.0851379158645352,0.3289694013336803,0.8009123429996765,0.027359781121751,0.0056278538812785,0.0,1.0,0.0258464013306293,4.17434718764097e-08,-0.0775511155881773,0.0821240211153816,0.261153921503845,0.1090845540109605,0.1899656849521018,-510.4616283617196
nn5_102,0.2115709633121204,0.0,-11887.64090315098,176.0,0.6300046161968521,6.0,1.0,0.8671553214355661,90.125,71.52309816715557,0.0017316365071311,0.2902722886399988,0.1363364373496668,-0.2857142857142857,0.1581632653061224,-0.5277777777777778,0.3101851851851852,0.1241579855403036,0.0967459081240315,0.3249676953191129,0.7507049841267045,0.0136798905608755,0.0023097412480974,0.0,1.0,0.0148891795937213,2.3120439090896044e-08,0.0209888160316736,0.0910314761737909,0.2796011526619626,0.1260643168882956,0.0843843351758301,-478.0737753259417
nn5_103,1.491779242778388e-08,4.5061322368379946e-17,-54171.36916265598,297.0,0.6930170530296307,5.0,1.0,0.7311659501863154,54.53846153846154,52.13062980726939,0.003812879343067,0.4375777595394829,0.2317331342860687,-0.1666666666666666,0.15625,-0.4464285714285714,0.2838010204081632,0.2396260077429891,0.22709858096405,0.2451833058423575,0.6304384587462752,0.0300957592339261,0.0051902587519025,0.0,1.0,0.0209342560843157,4.5599775550820505e-08,-0.222205200476333,0.0252725005815587,0.4254677236703582,0.2169463581535692,0.1541100864142251,-365.2826944864359
nn5_104,1.4901161193847656e-08,1.1471769479029503e-08,-33358.481122780904,252.0,0.7485964568093907,5.0,1.0,0.5362455015971469,55.0,56.40330959556658,0.0022584418512881,0.2331861708742693,0.0613525645829482,-0.3333333333333333,0.1458333333333333,-0.5625,0.3271484375,0.0659031561165061,0.0616129484994784,0.3369357391576591,0.8299182950159812,0.0218878248974008,0.0025684931506849,0.0,1.0,0.0128367763902865,3.5376792876862165e-08,0.0629417564944121,0.1242815107947936,0.2231475124580114,0.0605483532822335,0.1075107060210556,-521.5410683915978
nn5_105,0.0469747105503267,0.0,-42993.73216786052,275.0,0.7400949429449435,5.0,1.0,0.8874422255316184,51.0,42.74072099028315,0.0025426555424018,0.2170542635658914,0.062479298764119,-0.3461538461538461,0.1523668639053254,-0.5714285714285714,0.3357142857142857,0.0620481873728314,0.0533697024701277,0.3445412991901062,0.8244140654193626,0.0232558139534883,0.0032001522070015,0.0,1.0,0.0141049457479689,3.7142792950856486e-08,-0.2349832265773882,0.072986639744956,0.2058902528359792,0.0592696602693143,0.4380711923171033,-532.060337314607
nn5_106,1.4901161193847656e-08,4.4359358898467316e-10,-35117.67102554979,279.0,0.710415199446365,4.0,1.0,0.7251998202679669,47.53333333333333,31.495729113340943,0.0026191818403893,0.2025523431156169,0.0547097879150616,-0.3571428571428571,0.1556122448979591,-0.5789473684210527,0.3434903047091412,0.0543657624350528,0.0466399117799296,0.35154907952665,0.8372460854447411,0.0246238030095759,0.0032724505327245,0.0,1.0,0.0087881670485951,3.992138208195409e-08,0.0138129109524834,0.1091783554627219,0.195541107646261,0.0528346816508096,0.070130143121321,-542.5659557368826
