,danish_atm_daily_0,danish_atm_daily_1,danish_atm_daily_10,danish_atm_daily_100,danish_atm_daily_101,danish_atm_daily_102,danish_atm_daily_103,danish_atm_daily_104,danish_atm_daily_105,danish_atm_daily_106,danish_atm_daily_107,danish_atm_daily_108,danish_atm_daily_109,danish_atm_daily_11,danish_atm_daily_110,danish_atm_daily_111,danish_atm_daily_112,danish_atm_daily_12,danish_atm_daily_13,danish_atm_daily_14,danish_atm_daily_15,danish_atm_daily_16,danish_atm_daily_17,danish_atm_daily_18,danish_atm_daily_19,danish_atm_daily_2,danish_atm_daily_20,danish_atm_daily_21,danish_atm_daily_22,danish_atm_daily_23,danish_atm_daily_24,danish_atm_daily_25,danish_atm_daily_26,danish_atm_daily_27,danish_atm_daily_28,danish_atm_daily_29,danish_atm_daily_3,danish_atm_daily_30,danish_atm_daily_31,danish_atm_daily_32,danish_atm_daily_33,danish_atm_daily_34,danish_atm_daily_35,danish_atm_daily_36,danish_atm_daily_37,danish_atm_daily_38,danish_atm_daily_39,danish_atm_daily_4,danish_atm_daily_40,danish_atm_daily_41,danish_atm_daily_42,danish_atm_daily_43,danish_atm_daily_44,danish_atm_daily_45,danish_atm_daily_46,danish_atm_daily_47,danish_atm_daily_48,danish_atm_daily_49,danish_atm_daily_5,danish_atm_daily_50,danish_atm_daily_51,danish_atm_daily_52,danish_atm_daily_53,danish_atm_daily_54,danish_atm_daily_55,danish_atm_daily_56,danish_atm_daily_57,danish_atm_daily_58,danish_atm_daily_59,danish_atm_daily_6,danish_atm_daily_60,danish_atm_daily_61,danish_atm_daily_62,danish_atm_daily_63,danish_atm_daily_64,danish_atm_daily_65,danish_atm_daily_66,danish_atm_daily_67,danish_atm_daily_68,danish_atm_daily_69,danish_atm_daily_7,danish_atm_daily_70,danish_atm_daily_71,danish_atm_daily_72,danish_atm_daily_73,danish_atm_daily_74,danish_atm_daily_75,danish_atm_daily_76,danish_atm_daily_77,danish_atm_daily_78,danish_atm_daily_79,danish_atm_daily_8,danish_atm_daily_80,danish_atm_daily_81,danish_atm_daily_82,danish_atm_daily_83,danish_atm_daily_84,danish_atm_daily_85,danish_atm_daily_86,danish_atm_daily_87,danish_atm_daily_88,danish_atm_daily_89,danish_atm_daily_9,danish_atm_daily_90,danish_atm_daily_91,danish_atm_daily_92,danish_atm_daily_93,danish_atm_daily_94,danish_atm_daily_95,danish_atm_daily_96,danish_atm_daily_97,danish_atm_daily_98,danish_atm_daily_99
variance_larger_than_standard_deviation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_duplicate_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_duplicate_min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_duplicate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sum_values,35327.0,38235.0,27172.0,12405.0,19563.0,14723.0,17658.0,6550.0,3042.0,4291.0,4217.0,17332.0,21509.0,27391.0,2671.0,550.0,423.0,34577.0,12366.0,32589.0,36527.0,19459.0,8838.0,34115.0,45630.0,15112.0,33321.0,28445.0,30560.0,45126.0,13989.0,25127.0,14809.0,34507.0,17374.0,25892.0,28443.0,24148.0,19299.0,16238.0,32079.0,32830.0,29816.0,19450.0,18334.0,49468.0,36022.0,16317.0,37380.0,14137.0,30207.0,5379.0,46646.0,13180.0,7837.0,35508.0,16192.0,22555.0,18804.0,28401.0,22743.0,15751.0,14036.0,14669.0,14644.0,8238.0,28315.0,5147.0,31449.0,21442.0,6436.0,28628.0,14899.0,22514.0,28797.0,18732.0,20397.0,14913.0,27579.0,12798.0,12460.0,30085.0,18778.0,12100.0,12509.0,10681.0,6821.0,3994.0,22421.0,7701.0,21067.0,23294.0,27401.0,6129.0,9568.0,6413.0,24567.0,4422.0,18475.0,36511.0,28548.0,4507.0,44467.0,7862.0,8617.0,7960.0,7749.0,640.0,1904.0,2324.0,284.0,1970.0,14567.0
abs_energy,4805377.0,5215977.0,3278432.0,636231.0,1640421.0,1571155.0,1640380.0,260020.0,53086.0,2562883.0,66937.0,1057880.0,1575321.0,3126867.0,46539.0,4452.0,2059.0,4336607.0,529448.0,3946475.0,5210377.0,1523343.0,333178.0,4275037.0,7623388.0,865944.0,4479329.0,2978549.0,3519442.0,7635256.0,765563.0,2457037.0,869895.0,4366477.0,1128394.0,2782406.0,2929247.0,2117452.0,1417593.0,1019048.0,3922481.0,4101188.0,3495116.0,1440118.0,1220402.0,8985738.0,5337236.0,990629.0,5761536.0,735951.0,3349127.0,112631.0,8563804.0,745940.0,231091.0,4834412.0,1038786.0,1905729.0,1391924.0,3039449.0,2007749.0,947507.0,739008.0,801327.0,813318.0,264394.0,2901967.0,208557.0,3598807.0,1816594.0,160796.0,3014724.0,830775.0,1976546.0,3063551.0,1309340.0,1615667.0,830035.0,2869599.0,615352.0,597872.0,3396697.0,1773286.0,541124.0,567741.0,483727.0,271649.0,66896.0,1923243.0,227967.0,1646111.0,1954722.0,3419145.0,219901.0,375712.0,164375.0,2500563.0,139314.0,1550143.0,5581647.0,2890186.0,99303.0,7631779.0,323752.0,424573.0,427692.0,322429.0,5960.0,41714.0,42492.0,2700.0,24582.0,1092271.0
mean_abs_change,35.18092105263158,23.24671052631579,31.470394736842106,17.917763157894736,20.25986842105263,26.30592105263158,36.76973684210526,17.69078947368421,6.2894736842105265,10.789473684210526,2.3453947368421053,4.516447368421052,1.9375,41.89802631578947,1.6578947368421053,0.6085526315789473,0.3717105263157895,31.151315789473685,4.845394736842105,31.707236842105264,44.25,25.94078947368421,12.842105263157896,30.61842105263158,36.848684210526315,11.901315789473685,42.89473684210526,26.67105263157895,32.7828947368421,44.24671052631579,15.575657894736842,28.625,18.901315789473685,34.95065789473684,17.67763157894737,34.86842105263158,23.23355263157895,18.44078947368421,17.99671052631579,16.036184210526315,27.6875,36.50657894736842,37.526315789473685,18.43092105263158,16.039473684210527,43.63157894736842,49.05921052631579,16.486842105263158,34.83223684210526,13.819078947368421,30.68421052631579,6.092105263157895,39.6875,16.894736842105264,8.631578947368421,35.9078947368421,17.00657894736842,22.48355263157895,20.1875,26.450657894736842,23.43092105263158,15.296052631578947,14.450657894736842,14.513157894736842,16.25986842105263,9.638157894736842,25.401315789473685,10.960526315789474,27.30592105263158,22.82894736842105,8.282894736842104,23.513157894736842,14.832236842105264,24.723684210526315,24.835526315789473,18.35855263157895,19.51644736842105,14.62171052631579,26.68092105263158,13.180921052631579,13.302631578947368,23.049342105263158,20.476973684210527,10.493421052631579,11.4375,15.924342105263158,10.743421052631579,7.0230263157894735,20.519736842105264,8.585526315789474,19.730263157894736,21.901315789473685,22.523026315789473,6.822368421052632,10.62171052631579,9.1875,26.095394736842106,8.243421052631579,24.13486842105263,33.99342105263158,6.625,7.246710526315789,54.18092105263158,16.398026315789473,18.848684210526315,18.61842105263158,17.414473684210527,1.6414473684210527,4.7894736842105265,6.345394736842105,0.7368421052631579,5.447368421052632,30.62171052631579
mean_change,0.3980263157894737,-0.009868421052631578,0.3190789473684211,-0.01644736842105263,-0.12828947368421054,0.6151315789473685,-0.09868421052631579,-0.013157894736842105,0.02631578947368421,0.006578947368421052,0.049342105263157895,0.19407894736842105,0.22697368421052633,0.39144736842105265,0.019736842105263157,-0.009868421052631578,-0.003289473684210526,0.34868421052631576,0.10197368421052631,0.34539473684210525,0.3684210526315789,0.11842105263157894,0.09210526315789473,0.21052631578947367,0.34868421052631576,0.10526315789473684,0.45394736842105265,0.2894736842105263,0.34868421052631576,0.6217105263157895,0.14144736842105263,0.29605263157894735,0.2565789473684211,0.3782894736842105,0.2631578947368421,0.046052631578947366,0.2730263157894737,0.28289473684210525,0.15460526315789475,0.17434210526315788,0.3651315789473684,0.3815789473684211,0.19736842105263158,0.20723684210526316,0.25,0.618421052631579,0.39473684210526316,0.125,0.2993421052631579,0.10197368421052631,0.34868421052631576,0.07894736842105263,0.24671052631578946,0.19078947368421054,-0.03289473684210526,0.4407894736842105,-0.05263157894736842,0.17434210526315788,0.11513157894736842,0.33223684210526316,0.2138157894736842,0.013157894736842105,0.10197368421052631,0.13815789473684212,0.14144736842105263,0.046052631578947366,0.3092105263157895,0.08552631578947369,0.33223684210526316,0.28289473684210525,0.05921052631578947,0.35526315789473684,0.22039473684210525,0.3684210526315789,0.34210526315789475,0.17434210526315788,0.16776315789473684,0.1875,0.3256578947368421,0.14802631578947367,0.09210526315789473,0.22697368421052633,0.10197368421052631,0.10526315789473684,0.14144736842105263,0.13486842105263158,-0.02631578947368421,0.01644736842105263,0.19736842105263158,0.06578947368421052,0.3157894736842105,0.35526315789473684,0.09539473684210527,0.03289473684210526,0.06907894736842106,0.12171052631578948,0.14144736842105263,0.05921052631578947,0.1611842105263158,-0.4144736842105263,-0.07894736842105263,-0.0625,0.41118421052631576,-0.17434210526315788,-0.2894736842105263,-0.019736842105263157,-0.06578947368421052,-0.08881578947368421,0.02631578947368421,0.01644736842105263,-0.019736842105263157,0.019736842105263157,-0.05592105263157895
mean_second_derivative_central,-0.2871287128712871,0.2079207920792079,-0.20627062706270627,0.019801980198019802,0.0165016501650165,0.0165016501650165,0.009900990099009901,-0.0231023102310231,0.006600660066006601,0.006600660066006601,-0.0429042904290429,-0.06435643564356436,-0.0627062706270627,-0.40264026402640263,0.0016501650165016502,-0.0231023102310231,-0.0016501650165016502,0.028052805280528052,-0.06765676567656766,-0.2590759075907591,-0.30198019801980197,-0.15181518151815182,-0.1254125412541254,-0.22442244224422442,-0.34983498349834985,-0.04950495049504951,-0.0429042904290429,-0.2508250825082508,-0.0891089108910891,0.028052805280528052,-0.08745874587458746,-0.18646864686468648,-0.12871287128712872,-0.18976897689768976,0.019801980198019802,-0.23927392739273928,-0.0016501650165016502,-0.14686468646864687,-0.12376237623762376,-0.07590759075907591,-0.037953795379537955,-0.17986798679867988,-0.01485148514851485,-0.09075907590759076,-0.08745874587458746,0.034653465346534656,-0.4752475247524752,0.037953795379537955,-0.19141914191419143,-0.08250825082508251,-0.18976897689768976,-0.01155115511551155,0.11386138613861387,-0.1353135313531353,0.0033003300330033004,-0.23102310231023102,-0.13366336633663367,-0.04950495049504951,-0.066006600660066,0.057755775577557754,-0.0165016501650165,0.054455445544554455,-0.0858085808580858,-0.07260726072607261,-0.09075907590759076,-0.07920792079207921,-0.11716171617161716,-0.0429042904290429,-0.1254125412541254,-0.11221122112211221,-0.0165016501650165,-0.0016501650165016502,-0.10066006600660066,-0.14356435643564355,-0.11716171617161716,-0.06765676567656766,-0.0924092409240924,-0.11056105610561057,0.0297029702970297,-0.07425742574257425,-0.0858085808580858,-0.1617161716171617,-0.06765676567656766,0.026402640264026403,-0.07590759075907591,-0.03135313531353135,0.0165016501650165,-0.006600660066006601,-0.006600660066006601,-0.05115511551155116,-0.08415841584158416,-0.08085808580858085,-0.31518151815181517,-0.0033003300330033004,-0.028052805280528052,-0.066006600660066,-0.12211221122112212,-0.006600660066006601,0.034653465346534656,0.12376237623762376,0.12376237623762376,0.0297029702970297,-0.31518151815181517,0.054455445544554455,0.066006600660066,-0.0231023102310231,0.04785478547854786,0.03135313531353135,0.0,-0.0016501650165016502,0.0,0.0016501650165016502,0.0165016501650165
median,112.0,123.0,83.0,38.0,46.0,38.0,69.0,21.0,11.0,6.0,17.0,60.0,75.0,86.0,7.0,1.0,1.0,109.0,43.0,98.0,111.0,61.0,28.0,108.0,147.0,54.0,103.0,91.0,97.0,137.0,43.0,78.0,45.0,110.0,55.0,79.0,93.0,74.0,59.0,53.0,103.0,108.0,93.0,59.0,59.0,157.0,114.0,52.0,113.0,43.0,94.0,17.0,157.0,38.0,26.0,114.0,51.0,71.0,56.0,90.0,70.0,50.0,42.0,45.0,46.0,27.0,89.0,14.0,100.0,69.0,20.0,86.0,46.0,71.0,90.0,60.0,67.0,47.0,87.0,40.0,39.0,94.0,47.0,38.0,39.0,31.0,18.0,13.0,68.0,23.0,66.0,74.0,64.0,14.0,28.0,20.0,83.0,11.0,59.0,125.0,103.0,16.0,131.0,26.0,32.0,26.0,28.0,0.0,4.0,6.0,0.0,6.0,55.0
